Loan_ID,Gender,Married,ApplicantIncome,LoanAmount,Loan_Status,Credit_History
349,1,1,3875,67.0,0,0
350,1,1,3000,100.0,0,0
351,1,1,5167,200.0,1,1
352,0,0,4723,81.0,0,0
353,1,1,5000,236.0,1,1
354,1,1,4750,130.0,1,1
355,1,1,3013,95.0,1,1
356,1,0,6822,141.0,1,1
357,1,0,6216,133.0,0,0
358,1,0,2500,96.0,0,0
359,1,0,5124,124.0,0,0
360,1,1,6325,175.0,1,1
361,1,1,19730,570.0,0,0
362,0,0,15759,55.0,1,1
363,1,1,5185,155.0,1,1
364,1,1,9323,380.0,1,1
365,1,0,3062,111.0,0,0
366,0,0,2764,110.0,1,1
367,1,1,4817,120.0,1,1
368,1,1,8750,130.0,1,1
369,1,1,4310,130.0,1,1
370,1,0,3069,71.0,0,0
371,1,1,5391,130.0,1,1
372,1,1,3333,128.0,1,1
373,1,0,5941,296.0,1,1
374,0,0,6000,156.0,1,1
375,1,0,7167,128.0,1,1
376,1,1,4566,100.0,0,0
377,1,0,3667,113.0,1,1
378,1,0,2346,132.0,1,1
379,1,1,3010,127.0,0,0
380,1,1,2333,136.0,1,1
381,1,1,5488,125.0,1,1
382,1,0,9167,185.0,1,1
383,1,1,9504,275.0,1,1
384,1,1,2583,120.0,1,1
385,1,1,1993,113.0,1,1
386,1,1,3100,113.0,1,1
387,1,1,3276,135.0,1,1
388,0,0,3180,71.0,0,0
389,1,1,3033,95.0,1,1
390,1,0,3902,109.0,1,1
391,0,0,1500,103.0,0,0
392,1,1,2889,45.0,0,0
393,1,0,2755,65.0,0,0
394,1,0,2500,103.0,1,1
395,0,0,1963,53.0,1,1
396,0,0,7441,194.0,0,0
397,0,0,4547,115.0,1,1
398,1,1,2167,115.0,1,1
399,0,0,2213,66.0,1,1
400,1,1,8300,152.0,0,0
401,1,1,81000,360.0,0,0
402,0,0,3867,62.0,0,0
403,1,1,6256,160.0,1,1
404,1,1,6096,218.0,0,0
405,1,1,2253,110.0,1,1
406,0,1,2149,178.0,0,0
407,0,0,2995,60.0,1,1
408,0,0,2600,160.0,0,0
409,1,1,1600,239.0,0,0
410,1,1,1025,112.0,1,1
411,1,1,3246,138.0,1,1
412,1,1,5829,138.0,1,1
413,0,0,2720,80.0,0,0
414,1,1,1820,100.0,1,1
415,1,1,7250,110.0,0,0
416,1,1,14880,96.0,1,1
417,1,1,2666,121.0,1,1
418,0,0,4606,81.0,0,0
419,1,1,5935,133.0,1,1
420,1,1,2920,87.0,1,1
421,1,0,2717,60.0,1,1
422,0,0,8624,150.0,1,1
423,1,0,6500,105.0,0,0
424,1,0,12876,405.0,1,1
425,1,1,2425,143.0,1,1
426,1,0,3750,100.0,1,1
427,1,0,1926,50.0,1,1
428,1,1,2213,127.0,1,1
429,1,0,10416,187.0,0,0
430,0,1,7142,138.0,1,1
431,1,0,3660,187.0,1,1
432,1,1,7901,180.0,1,1
433,1,0,4707,148.0,1,1
434,1,0,37719,152.0,1,1
435,1,1,7333,175.0,1,1
436,1,1,3466,130.0,1,1
437,1,1,4652,110.0,1,1
438,1,1,3539,55.0,0,0
439,1,1,3340,150.0,0,0
440,1,0,2769,190.0,0,0
441,1,1,2309,125.0,0,0
442,1,1,1958,60.0,1,1
443,1,1,3948,149.0,0,0
444,1,1,2483,90.0,1,1
445,1,0,7085,84.0,1,1
446,1,1,3859,96.0,1,1
447,1,1,4301,118.0,1,1
448,1,1,3708,173.0,0,0
449,1,0,4354,136.0,1,1
450,1,1,8334,160.0,0,0
451,1,1,7740,128.0,1,1
452,1,1,3015,153.0,1,1
453,0,0,5191,132.0,1,1
454,1,0,4166,98.0,0,0
455,1,0,6000,140.0,1,1
456,1,1,2947,70.0,0,0
457,0,1,210,98.0,1,1
458,1,1,4333,110.0,0,0
459,1,1,3450,162.0,1,1
460,1,1,2653,113.0,0,0
461,1,1,4691,100.0,1,1
462,0,0,2500,93.0,1,1
463,1,0,5532,162.0,1,1
464,1,1,16525,150.0,1,1
465,1,1,6700,230.0,1,1
466,1,1,16667,86.0,1,1
467,1,1,2947,127.0,0,0
468,0,0,4350,154.0,1,1
469,1,1,3095,113.0,1,1
470,1,1,2083,128.0,1,1
471,1,1,10833,234.0,1,1
472,1,1,8333,246.0,1,1
473,1,1,1958,131.0,1,1
474,1,0,3547,80.0,0,0
475,1,1,18333,500.0,0,0
476,1,1,4583,160.0,1,1
477,1,0,2435,75.0,0,0
478,1,0,2699,96.0,1,1
479,1,1,5333,186.0,1,1
480,1,0,3691,110.0,1,1
481,0,0,17263,225.0,1,1
482,1,1,3597,119.0,0,0
483,0,1,3326,105.0,1,1
484,1,1,2600,107.0,1,1
485,1,1,4625,111.0,1,1
486,1,1,2895,95.0,1,1
487,1,0,6283,209.0,0,0
488,0,0,645,113.0,1,1
489,0,0,3159,100.0,1,1
490,1,1,4865,208.0,1,1
491,1,1,4050,138.0,0,0
492,1,1,3814,124.0,1,1
493,1,1,3510,243.0,1,1
494,1,1,20833,480.0,1,1
495,1,1,2479,188.0,1,1
496,0,0,13262,40.0,1,1
497,1,0,3598,100.0,0,0
498,1,1,6065,250.0,1,1
499,1,1,3283,148.0,1,1
500,1,1,2130,70.0,0,0
501,1,0,5815,311.0,0,0
502,1,1,3466,150.0,1,1
503,0,1,2031,113.0,1,1
504,1,1,3074,123.0,0,0
505,1,0,4683,185.0,0,0
506,0,0,3400,95.0,0,0
507,1,1,2192,45.0,1,1
508,1,0,2500,55.0,1,1
509,1,1,5677,100.0,1,1
510,1,1,7948,480.0,1,1
511,1,0,4680,127.0,0,0
512,1,1,17500,400.0,1,1
513,1,1,3775,110.0,1,1
514,1,1,5285,161.0,1,1
515,1,0,2679,94.0,1,1
516,1,0,6783,130.0,1,1
517,1,1,1025,216.0,1,1
518,1,1,4281,100.0,1,1
519,1,0,3588,110.0,0,0
520,1,0,11250,196.0,0,0
521,0,0,18165,125.0,1,1
522,1,0,2550,126.0,1,1
523,1,1,6133,324.0,1,1
524,1,0,3617,107.0,1,1
525,1,1,2917,66.0,0,0
526,1,1,6417,157.0,1,1
527,0,1,4608,140.0,1,1
528,0,0,2138,99.0,0,0
529,0,0,3652,95.0,1,1
530,1,1,2239,128.0,1,1
531,0,1,3017,102.0,1,1
532,1,1,2768,155.0,1,1
533,1,0,3358,80.0,0,0
534,1,0,2526,145.0,1,1
535,0,0,5000,103.0,0,0
536,1,1,2785,110.0,1,1
537,1,1,6633,127.0,0,0
538,1,1,2492,127.0,1,1
539,1,1,3333,158.0,1,1
540,1,1,2454,181.0,0,0
541,1,1,3593,132.0,0,0
542,1,1,5468,26.0,1,1
543,0,0,2667,84.0,1,1
544,1,1,10139,260.0,1,1
545,1,1,3887,162.0,1,1
546,0,1,4180,182.0,1,1
547,1,1,3675,108.0,1,1
548,0,1,19484,600.0,1,1
549,1,1,5923,211.0,1,1
550,1,0,5800,132.0,1,1
551,1,1,8799,258.0,0,0
552,1,1,4467,120.0,1,1
553,1,0,3333,70.0,1,1
554,1,1,3400,123.0,0,0
555,0,0,2378,9.0,0,0
556,1,1,3166,104.0,0,0
557,1,1,3417,186.0,1,1
558,1,1,5116,165.0,0,0
559,1,1,16666,275.0,1,1
560,1,1,6125,187.0,0,0
561,1,1,6406,150.0,0,0
562,1,1,3159,108.0,1,1
563,1,0,3229,110.0,1,1
564,1,1,1782,107.0,1,1
565,1,0,3182,161.0,1,1
566,1,1,6540,205.0,1,1
567,1,0,1836,90.0,0,0
568,0,1,3166,36.0,1,1
569,1,1,1880,61.0,0,0
570,1,1,2787,146.0,0,0
571,1,1,4283,172.0,0,0
572,1,1,2297,104.0,1,1
573,0,0,2165,70.0,1,1
574,1,1,2726,106.0,0,0
575,1,1,3000,56.0,1,1
576,1,1,6000,205.0,0,0
577,1,1,3859,142.0,1,1
578,1,1,16120,260.0,1,1
579,1,0,3833,110.0,1,1
580,1,1,6383,187.0,0,0
581,1,0,2987,88.0,0,0
582,1,1,9963,180.0,1,1
583,1,1,5780,192.0,1,1
584,0,0,416,350.0,0,0
585,1,1,2894,155.0,1,1
586,1,1,5703,128.0,1,1
587,1,0,3676,172.0,1,1
588,0,1,12000,496.0,1,1
589,1,1,2400,127.0,0,0
590,1,1,3400,173.0,1,1
591,1,1,3987,157.0,1,1
592,1,1,3232,108.0,1,1
593,0,0,2900,71.0,1,1
594,1,1,4106,40.0,1,1
595,1,1,8072,253.0,1,1
596,1,1,7583,187.0,1,1
597,0,0,4583,133.0,0,0
